번호,면적,시도명,시군구명,용도,장소명,주소,최대수용인원,경도,위도,정좌표경도,정좌표위도,구분
2289,1123000000,서울특별시,동대문구,학교,전곡초등학교,서울특별시 동대문구 전농로 172(전농동),1346,127.05649,37.58046,204990.1015,553435.6395,안전
2279,1123000000,서울특별시,동대문구,학교,배봉초등학교,서울특별시 동대문구 사가정로 193(전농동),495,127.06678,37.58012,205899.0736,553398.7906,안전
9593,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",마포아트센터,서울특별시 마포구 대흥로20길 28(대흥동),26,126.94598,37.55011,195226.1843,550067.0002,긴급
2280,1123000000,서울특별시,동대문구,학교,동대문중학교,서울특별시 동대문구 사가정로 59(전농동),1346,127.05226,37.57464,204616.4358,552789.8717,안전
2288,1123000000,서울특별시,동대문구,관공서,제기동주민센터,서울특별시 동대문구 약령시로 71(제기동),57,127.03783,37.58317,203340.9562,553735.7595,안전
2281,1123000000,서울특별시,동대문구,관공서,전농2동주민센터,서울특별시 동대문구 사가정로 137(전농동),49,127.06005,37.57807,205304.0515,553171.1331,안전
9590,1144000000,서울특별시,마포구,관공서,도화동주민센터,서울특별시 마포구 도화길 37(도화동),153,126.94992,37.54147,195574.0155,549108.066,긴급
2282,1123000000,서울특별시,동대문구,관공서,전농1동주민센터,서울특별시 동대문구 서울시립대로9길 21(전농동),85,127.04772,37.57798,204214.998,553160.3753,안전
2294,1123000000,서울특별시,동대문구,관공서,동대문구청,서울특별시 동대문구 천호대로 145(용두동),280,127.03992,37.57429,203526.4615,552749.6342,안전
2296,1123000000,서울특별시,동대문구,학교,종암초등학교,서울특별시 동대문구 무학로44길 25(제기동),242,127.03124,37.58189,202759.0053,553593.5679,안전
2293,1123000000,서울특별시,동대문구,학교,대광고등학교,서울특별시 동대문구 안암로 6(신설동),1230,127.02484,37.57818,202194.0458,553181.3986,안전
2301,1123000000,서울특별시,동대문구,학교,휘경공업고등학교,서울특별시 동대문구 겸재로 21(휘경동),1346,127.06954,37.58533,206141.8797,553977.2854,안전
2302,1123000000,서울특별시,동대문구,학교,휘경중학교,서울특별시 동대문구 망우로18나길 20(휘경동),176,127.06175,37.58708,205454.0078,554171.1804,안전
2300,1123000000,서울특별시,동대문구,학교,"경희중,고등학교",서울특별시 동대문구 경희대로 26(회기동),240,127.05484,37.59494,204843.146,555042.494,안전
2290,1123000000,서울특별시,동대문구,학교,전동초등학교,서울특별시 동대문구 전농로16길 61(전농동),1346,127.06119,37.5791,205404.945,553285.0148,안전
2291,1123000000,서울특별시,동대문구,학교,전농초등학교,서울특별시 동대문구 사가정로 66(전농동),375,127.05455,37.57488,204819.0769,552816.4199,안전
2306,1123000000,서울특별시,동대문구,관공서,휘경1동주민센터,서울특별시 동대문구 외대역동로6길 3(휘경동),65,127.06576,37.59293,205807.8873,554820.2467,안전
2307,1123000000,서울특별시,동대문구,학교,이문초등학교,서울특별시 동대문구 신이문로 16(이문동),341,127.06384,37.60264,205637.725,555898.2249,안전
2308,1123000000,서울특별시,동대문구,관공서,이문1동주민센터,서울특별시 동대문구 외대역동로 114-1 (이문동),57,127.06548,37.59784,205782.3483,555364.6628,안전
2305,1123000000,서울특별시,동대문구,관공서,휘경2동주민센터,서울특별시 동대문구 한천로 329(휘경동),60,127.06858,37.59013,206056.8773,554510.0956,안전
2303,1123000000,서울특별시,동대문구,학교,휘봉고등학교,서울특별시 동대문구 한천로 290(휘경동),1346,127.06892,37.58638,206087.2495,554093.4393,안전
2311,1123000000,서울특별시,동대문구,관공서,답십리1동 주민센터,서울특별시 동대문구 사가정로 30(답십리동),124,127.05114,37.57196,204517.4004,552491.8964,안전
2312,1123000000,서울특별시,동대문구,관공서,답십리2동주민센터,서울특별시 동대문구 한천로11길 18(답십리동),91,127.06132,37.56742,205417.6614,551988.2437,안전
2304,1123000000,서울특별시,동대문구,학교,휘봉초등학교,서울특별시 동대문구 장안벚꽃로 309(휘경동),1346,127.07015,37.58632,206196.0546,554087.2556,안전
2315,1123000000,서울특별시,동대문구,학교,장평초등학교,서울특별시 동대문구 답십리로69길 27(장안동),562,127.07326,37.57381,206471.8929,552698.5156,긴급
2295,1123000000,서울특별시,동대문구,관공서,용신동주민센터,서울특별시 동대문구 천호대로27길 35(용두동),102,127.03729,37.57582,203293.5655,552920.2421,긴급
2314,1123000000,서울특별시,동대문구,학교,안평초등학교,서울특별시 동대문구 장한로14길 61(장안동),214,127.07131,37.56576,206299.6181,551805.5288,긴급
2313,1123000000,서울특별시,동대문구,학교,장평중학교,서울특별시 동대문구 답십리로72길 158(장안동),255,127.0707,37.56663,206246.42,551902.1239,안전
2292,1123000000,서울특별시,동대문구,학교,전일중학교,서울특별시 동대문구 사가정로13길 67(전농동),458,127.05852,37.58184,205168.9374,553588.6358,긴급
